[2026-05-29 22:29:05] ============================================================
[2026-05-29 22:29:05] Phase 2: 차트 생성 시작 (배치 9999개/회)
[2026-05-29 22:29:05] 차트 미생성 3,972개 | 오늘 처리 3972개
[2026-05-29 22:33:11]   [102/3972] ✅ 012420
[2026-05-29 22:33:13]   [103/3972] ✅ 034660
[2026-05-29 22:33:14]   [104/3972] ✅ 065340
[2026-05-29 22:33:16]   [105/3972] ✅ 043680
[2026-05-29 22:33:17]   [106/3972] ✅ 035010
[2026-05-29 22:33:18]   [107/3972] ✅ 048640
[2026-05-29 22:33:21]   [108/3972] ✅ 103150
[2026-05-29 22:33:24]   [109/3972] ✅ 066690
[2026-05-29 22:33:25]   [110/3972] ✅ 040740
[2026-05-29 22:33:26]   [111/3972] ✅ 038420
[2026-05-29 22:33:30]   [112/3972] ✅ 084810
[2026-05-29 22:33:32]   [113/3972] ✅ 067850
[2026-05-29 22:33:36]   [114/3972] ✅ 086720
[2026-05-29 22:33:37]   [115/3972] ✅ 054170
[2026-05-29 22:33:39]   [116/3972] ✅ 054010
[2026-05-29 22:33:42]   [117/3972] ✅ 001190
[2026-05-29 22:33:43]   [118/3972] ✅ 033720
[2026-05-29 22:33:45]   [119/3972] ✅ 078700
[2026-05-29 22:33:48]   [120/3972] ✅ 076850
[2026-05-29 22:33:49]   [121/3972] ✅ 048510
[2026-05-29 22:33:51]   [122/3972] ✅ 030030
[2026-05-29 22:33:52]   [123/3972] ✅ 042870
[2026-05-29 22:33:54]   [124/3972] ✅ 021060
[2026-05-29 22:33:55]   [125/3972] ✅ 036270
[2026-05-29 22:33:57]   [126/3972] ✅ 037510
[2026-05-29 22:33:58]   [127/3972] ✅ 032030
[2026-05-29 22:34:00]   [128/3972] ✅ 043630
[2026-05-29 22:34:03]   [129/3972] ✅ 013240
[2026-05-29 22:34:06]   [130/3972] ✅ 093820
[2026-05-29 22:34:07]   [131/3972] ✅ 052310
[2026-05-29 22:34:10]   [132/3972] ✅ 008400
[2026-05-29 22:34:13]   [133/3972] ✅ 001370
[2026-05-29 22:34:15]   [134/3972] ✅ 017010
[2026-05-29 22:34:18]   [135/3972] ✅ 011050
